------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     4  0.000000000000E+00  0.000000000000E+00 -7.103139469838E+01

------ Current Surface: Coil-Plasma separation =   5.000000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      0     0  3.520727073905E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
      0    -1  1.315708610142E-01  2.218872031039E-02  0.000000000000E+00  0.000000000000E+00
      0    -2 -4.265727344544E-02  2.654670544764E-02  0.000000000000E+00  0.000000000000E+00
      0    -3 -1.709573493554E-03  5.020327894916E-06  0.000000000000E+00  0.000000000000E+00
      0    -4 -7.144146251802E-04  8.177801996580E-05  0.000000000000E+00  0.000000000000E+00
      0    -5  1.716354898794E-04 -4.102045965570E-04  0.000000000000E+00  0.000000000000E+00
      0    -6 -8.551145281397E-05  8.783759382544E-05  0.000000000000E+00  0.000000000000E+00
      0    -7 -2.604461671576E-06 -2.147636669822E-05  0.000000000000E+00  0.000000000000E+00
      0    -8  2.601020040785E-06  7.882858781499E-06  0.000000000000E+00  0.000000000000E+00
      0    -9 -4.715522175524E-06  4.776368841004E-07  0.000000000000E+00  0.000000000000E+00
      0   -10  2.379066195817E-06 -3.443831974889E-07  0.000000000000E+00  0.000000000000E+00
      0   -11 -1.197709929619E-06  5.642696842694E-07  0.000000000000E+00  0.000000000000E+00
      0   -12  3.688802794825E-07 -2.107061998771E-07  0.000000000000E+00  0.000000000000E+00
      0   -13 -9.703792416610E-08  3.532244700068E-08  0.000000000000E+00  0.000000000000E+00
      0   -14  3.643897168921E-08 -4.560615535826E-08  0.000000000000E+00  0.000000000000E+00
      0   -15  9.571898362901E-10  1.741000825796E-08  0.000000000000E+00  0.000000000000E+00
      0   -16 -6.127624111457E-09 -5.681827596916E-09  0.000000000000E+00  0.000000000000E+00
      0   -17 -3.811549256284E-10 -4.430610174398E-10  0.000000000000E+00  0.000000000000E+00
      0   -18 -4.299724509489E-09 -5.977852752232E-09  0.000000000000E+00  0.000000000000E+00
      0   -19  1.253022024680E-09 -1.975140323282E-09  0.000000000000E+00  0.000000000000E+00
      0   -20  1.374396835815E-09  1.169456388892E-09  0.000000000000E+00  0.000000000000E+00
      0   -21  2.285023325719E-09  3.075648776638E-09  0.000000000000E+00  0.000000000000E+00
      0   -22  9.334924816647E-10  2.779072278048E-09  0.000000000000E+00  0.000000000000E+00
      0   -23  1.795546617205E-10  1.249608905853E-09  0.000000000000E+00  0.000000000000E+00
      0   -24 -4.626898978972E-10 -5.075547960571E-11  0.000000000000E+00  0.000000000000E+00
      1    24  5.577570276298E-10 -6.684586368049E-10  0.000000000000E+00  0.000000000000E+00
      1    23  2.701310245368E-10  3.774116306138E-10  0.000000000000E+00  0.000000000000E+00
      1    22 -5.339864026215E-10  1.582785937905E-09  0.000000000000E+00  0.000000000000E+00
      1    21 -1.026311570885E-09  2.469770272057E-09  0.000000000000E+00  0.000000000000E+00
      1    20 -2.067019522559E-09  2.345636848208E-09  0.000000000000E+00  0.000000000000E+00
      1    19 -8.147894970485E-10 -9.589427136066E-10  0.000000000000E+00  0.000000000000E+00
      1    18  4.281592397249E-10 -1.294566164716E-09  0.000000000000E+00  0.000000000000E+00
      1    17  2.186258297500E-09 -8.283044885629E-09  0.000000000000E+00  0.000000000000E+00
      1    16  5.373214856532E-09  6.693071222591E-09  0.000000000000E+00  0.000000000000E+00
      1    15 -4.791505235682E-09 -5.607647266201E-09  0.000000000000E+00  0.000000000000E+00
      1    14  1.695005472115E-08  1.492535872158E-08  0.000000000000E+00  0.000000000000E+00
      1    13 -7.321776618167E-08 -5.911400820344E-09  0.000000000000E+00  0.000000000000E+00
      1    12  1.625179574777E-07 -1.114903937111E-07  0.000000000000E+00  0.000000000000E+00
      1    11 -5.944776625181E-07 -7.393840497182E-08  0.000000000000E+00  0.000000000000E+00
      1    10  1.812662622127E-06  2.504084990296E-07  0.000000000000E+00  0.000000000000E+00
      1     9 -3.585987017535E-06 -7.430037780327E-07  0.000000000000E+00  0.000000000000E+00
      1     8  6.268695611894E-06  3.062231461096E-06  0.000000000000E+00  0.000000000000E+00
      1     7  2.308987429443E-06  1.327833053962E-05  0.000000000000E+00  0.000000000000E+00
