------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     5  0.000000000000E+00  0.000000000000E+00  1.956111262946E+01

------ Current Surface: Coil-Plasma separation =   1.000000000000E+00 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      0     0  5.373714873587E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
      0    -1  1.049714588416E-01 -8.636837538657E-04  0.000000000000E+00  0.000000000000E+00
      0    -2  4.024130351178E-02 -3.640349103093E-02  0.000000000000E+00  0.000000000000E+00
      0    -3  3.858270316489E-04  1.272856981468E-04  0.000000000000E+00  0.000000000000E+00
      0    -4  2.285754238756E-03 -2.255976091898E-03  0.000000000000E+00  0.000000000000E+00
      0    -5 -1.651930413370E-04  1.757438731463E-04  0.000000000000E+00  0.000000000000E+00
      0    -6  1.899875543194E-04 -1.815708963069E-04  0.000000000000E+00  0.000000000000E+00
      0    -7 -1.764549560420E-05  1.834436275443E-05  0.000000000000E+00  0.000000000000E+00
      0    -8  1.310453176756E-05 -1.073636506844E-05  0.000000000000E+00  0.000000000000E+00
      0    -9 -1.142424380167E-06  1.821045123097E-06  0.000000000000E+00  0.000000000000E+00
      0   -10  3.168261981611E-07  2.423255797660E-07  0.000000000000E+00  0.000000000000E+00
      0   -11  7.344546075635E-08  1.492511487708E-07  0.000000000000E+00  0.000000000000E+00
      0   -12 -1.699550735452E-07  2.938581896495E-07  0.000000000000E+00  0.000000000000E+00
      0   -13  4.783076626587E-08  1.341828380421E-08  0.000000000000E+00  0.000000000000E+00
      0   -14 -5.251248795242E-08  7.906756376206E-08  0.000000000000E+00  0.000000000000E+00
      0   -15  6.225869857959E-09 -2.871155458742E-09  0.000000000000E+00  0.000000000000E+00
      0   -16  3.045356137694E-09  2.972245150858E-08  0.000000000000E+00  0.000000000000E+00
      0   -17 -4.906118182177E-09 -2.734597260684E-10  0.000000000000E+00  0.000000000000E+00
      0   -18 -4.519754787005E-08 -4.242199990830E-08  0.000000000000E+00  0.000000000000E+00
      0   -19  8.755509708198E-08  8.660762496000E-08  0.000000000000E+00  0.000000000000E+00
      0   -20 -3.981686399861E-10  3.704881964979E-08  0.000000000000E+00  0.000000000000E+00
      0   -21 -2.408720900236E-07 -2.586846476094E-07  0.000000000000E+00  0.000000000000E+00
      0   -22  2.621849598239E-07  1.912625581529E-07  0.000000000000E+00  0.000000000000E+00
      0   -23  2.447465640809E-07  3.388020533271E-07  0.000000000000E+00  0.000000000000E+00
      0   -24 -6.527622751270E-07 -6.436902310273E-07  0.000000000000E+00  0.000000000000E+00
      1    24 -4.329073164536E-07  2.592025938256E-07  0.000000000000E+00  0.000000000000E+00
      1    23  6.453704620279E-07 -6.826388020577E-07  0.000000000000E+00  0.000000000000E+00
      1    22 -4.979377882372E-08  1.538227809340E-07  0.000000000000E+00  0.000000000000E+00
      1    21 -3.148917943159E-07  2.721505753096E-07  0.000000000000E+00  0.000000000000E+00
      1    20  1.659033215899E-07 -1.999643313079E-07  0.000000000000E+00  0.000000000000E+00
      1    19  4.346114382313E-08 -2.054047730105E-08  0.000000000000E+00  0.000000000000E+00
      1    18 -7.729950718210E-08  7.827693452075E-08  0.000000000000E+00  0.000000000000E+00
      1    17  2.568410924708E-08 -2.352118320618E-08  0.000000000000E+00  0.000000000000E+00
      1    16  6.813093357007E-09 -7.069635309388E-09  0.000000000000E+00  0.000000000000E+00
      1    15  3.945456718418E-09  2.863663082066E-08  0.000000000000E+00  0.000000000000E+00
      1    14 -2.603215289057E-08 -1.807398727889E-08  0.000000000000E+00  0.000000000000E+00
      1    13  8.964550567570E-08  1.095094392045E-07  0.000000000000E+00  0.000000000000E+00
      1    12 -1.609039341122E-07 -9.703473960339E-08  0.000000000000E+00  0.000000000000E+00
      1    11  4.822176596494E-07  5.938430563523E-07  0.000000000000E+00  0.000000000000E+00
      1    10 -6.260250449007E-07 -3.427335848498E-07  0.000000000000E+00  0.000000000000E+00
      1     9  1.914926727160E-06  2.578600619396E-06  0.000000000000E+00  0.000000000000E+00
      1     8 -1.990913455251E-07  9.031030326002E-07  0.000000000000E+00  0.000000000000E+00
      1     7 -7.108067194899E-07  3.492841002631E-06  0.000000000000E+00  0.000000000000E+00
      1     6  3.371455928678E-05  3.829432654808E-05  0.000000000000E+00  0.000000000000E+00
      1     5 -1.373058530187E-04 -1.128353523329E-04  0.000000000000E+00  0.000000000000E+00
      1     4  4.987831693774E-04  5.173601377062E-04  0.000000000000E+00  0.000000000000E+00
      1     3 -2.755777282313E-03 -2.507743745818E-03  0.000000000000E+00  0.000000000000E+00
      1     2  7.175116767581E-03  8.478019162370E-03  0.000000000000E+00  0.000000000000E+00
      1     1 -7.006310896467E-02 -6.542163569943E-02  0.000000000000E+00  0.000000000000E+00
      1     0  1.431970311307E+00  1.450010890113E+00  0.000000000000E+00  0.000000000000E+00
      1    -1 -1.763268751557E-02 -4.003802998390E-02  0.000000000000E+00  0.000000000000E+00
      1    -2 -1.728565484370E-02 -6.687868292164E-03  0.000000000000E+00  0.000000000000E+00
      1    -3 -9.303346815630E-03  6.694926067850E-03  0.000000000000E+00  0.000000000000E+00
      1    -4 -3.989768036766E-04 -3.013599496273E-04  0.000000000000E+00  0.000000000000E+00
      1    -5 -1.190802863450E-03  1.097671459638E-03  0.000000000000E+00  0.000000000000E+00
      1    -6  5.594916519500E-06 -3.548210253550E-05  0.000000000000E+00  0.000000000000E+00
      1    -7 -1.355439284784E-04  1.262515847541E-04  0.000000000000E+00  0.000000000000E+00
      1    -8  7.967722584308E-07 -3.262977491830E-06  0.000000000000E+00  0.000000000000E+00
      1    -9 -1.506378752111E-05  1.323432943448E-05  0.000000000000E+00  0.000000000000E+00
      1   -10 -2.197944910260E-07 -2.802941963295E-07  0.000000000000E+00  0.000000000000E+00
      1   -11 -1.407246977572E-06  9.901360828802E-07  0.000000000000E+00  0.000000000000E+00
      1   -12 -9.263133398654E-08 -6.821698908065E-08  0.000000000000E+00  0.000000000000E+00
      1   -13 -6.238762598415E-08 -4.104215183636E-08  0.000000000000E+00  0.000000000000E+00
      1   -14 -2.359327548758E-08 -2.689309726559E-08  0.000000000000E+00  0.000000000000E+00
      1   -15  1.526737197896E-08 -4.212401442412E-08  0.000000000000E+00  0.000000000000E+00
      1   -16  4.277105727208E-09  1.083451039402E-09  0.000000000000E+00  0.000000000000E+00
      1   -17 -1.140407873535E-08 -2.645625712589E-08  0.000000000000E+00  0.000000000000E+00
      1   -18 -3.784635405144E-09 -9.556938144006E-09  0.000000000000E+00  0.000000000000E+00
      1   -19  6.619587892534E-08  6.650743202380E-08  0.000000000000E+00  0.000000000000E+00
      1   -20 -8.541715121866E-08 -7.557256338818E-08  0.000000000000E+00  0.000000000000E+00
      1   -21 -6.335602142048E-08 -1.098974349936E-07  0.000000000000E+00  0.000000000000E+00
      1   -22  2.931001900142E-07  2.814720296607E-07  0.000000000000E+00  0.000000000000E+00
      1   -23 -1.465243926607E-07 -6.209179743935E-08  0.000000000000E+00  0.000000000000E+00
      1   -24 -4.092549318693E-07 -4.852976597225E-07  0.000000000000E+00  0.000000000000E+00
      2    24  2.976840412605E-07 -5.856156401920E-07  0.000000000000E+00  0.000000000000E+00
      2    23  6.815145361118E-07 -5.734981839838E-07  0.000000000000E+00  0.000000000000E+00
      2    22 -5.243775384896E-07  6.006879739770E-07  0.000000000000E+00  0.000000000000E+00
      2    21 -1.268219416593E-07  2.903976466579E-08  0.000000000000E+00  0.000000000000E+00
      2    20  3.066373533123E-07 -2.957903929304E-07  0.000000000000E+00  0.000000000000E+00
      2    19 -8.956728865658E-08  1.247134851463E-07  0.000000000000E+00  0.000000000000E+00
      2    18 -6.522624550762E-08  5.418991786802E-08  0.000000000000E+00  0.000000000000E+00
      2    17  5.986317836034E-08 -6.100649864430E-08  0.000000000000E+00  0.000000000000E+00
      2    16 -1.031517289694E-08  1.129935657197E-08  0.000000000000E+00  0.000000000000E+00
      2    15 -5.980565335171E-09  9.919205199213E-09  0.000000000000E+00  0.000000000000E+00
      2    14 -7.935998045511E-09 -2.403433650553E-08  0.000000000000E+00  0.000000000000E+00
      2    13  4.683479271403E-08  3.719965809316E-08  0.000000000000E+00  0.000000000000E+00
      2    12 -1.254581826851E-07 -1.320550416325E-07  0.000000000000E+00  0.000000000000E+00
      2    11  3.615196143710E-07  3.026554467259E-07  0.000000000000E+00  0.000000000000E+00
      2    10 -8.788724172538E-07 -9.164532647701E-07  0.000000000000E+00  0.000000000000E+00
      2     9  2.175586835002E-06  1.914973462651E-06  0.000000000000E+00  0.000000000000E+00
      2     8 -5.195515047393E-06 -5.527652623031E-06  0.000000000000E+00  0.000000000000E+00
      2     7  1.010974143338E-05  9.052931916307E-06  0.000000000000E+00  0.000000000000E+00
      2     6 -2.419031862372E-05 -2.754335643424E-05  0.000000000000E+00  0.000000000000E+00
      2     5  9.647766204070E-06  6.849497142989E-06  0.000000000000E+00  0.000000000000E+00
      2     4 -1.873484695917E-05 -4.606653205395E-05  0.000000000000E+00  0.000000000000E+00
      2     3 -6.385588157247E-04 -6.724789359228E-04  0.000000000000E+00  0.000000000000E+00
      2     2  9.089282611546E-04  5.521373856424E-04  0.000000000000E+00  0.000000000000E+00
      2     1 -1.968268341273E-02 -1.868034115427E-02  0.000000000000E+00  0.000000000000E+00
      2     0  2.148505129932E-01  2.070459130850E-01  0.000000000000E+00  0.000000000000E+00
      2    -1  3.847493353978E-01  3.887156828373E-01  0.000000000000E+00  0.000000000000E+00
      2    -2 -4.751157710547E-02  1.090623327784E-01  0.000000000000E+00  0.000000000000E+00
      2    -3  3.765596772392E-03  9.338388237383E-03  0.000000000000E+00  0.000000000000E+00
      2    -4 -9.480830452335E-04  3.568095966606E-03  0.000000000000E+00  0.000000000000E+00
      2    -5 -1.252539068322E-04  9.755016557564E-04  0.000000000000E+00  0.000000000000E+00
