      fourier
      64 64 3
      0     0  1.378200000000E+00  0.000000000000E+00
      0    -1 -4.145200000000E-03  7.163400000000E-03
      0    -2 -4.137400000000E-03  7.599500000000E-03
      0    -3  3.611600000000E-03 -2.950300000000E-03
      0    -4 -3.328500000000E-04  5.148100000000E-04
      0    -5  0.000000000000E+00  0.000000000000E+00
      1     5  0.000000000000E+00  0.000000000000E+00
      1     4 -4.510300000000E-04  7.048600000000E-05
      1     3  4.712300000000E-04 -1.595200000000E-04
      1     2 -2.615600000000E-03  1.411600000000E-03
      1     1  2.086900000000E-02  9.287300000000E-03
      1     0  2.707300000000E-01  4.646500000000E-01
      1    -1 -1.350000000000E-01  1.651600000000E-01
      1    -2  4.851900000000E-03 -6.055900000000E-03
      1    -3  4.890600000000E-04 -1.773600000000E-04
      1    -4 -9.469400000000E-04  5.664200000000E-04
      1    -5  0.000000000000E+00  0.000000000000E+00
      2     5  0.000000000000E+00  0.000000000000E+00
      2     4  4.489700000000E-04  1.752100000000E-04
      2     3 -4.616600000000E-04  5.922500000000E-04
      2     2 -1.998800000000E-04  1.935000000000E-04
      2     1  8.933900000000E-03  1.275400000000E-02
      2     0  9.109400000000E-02  1.545100000000E-02
      2    -1  9.068400000000E-02  1.161800000000E-02
      2    -2  2.720800000000E-02 -2.733700000000E-02
      2    -3 -4.466500000000E-03  1.351500000000E-03
      2    -4 -1.481200000000E-04  8.653500000000E-04
      2    -5  0.000000000000E+00  0.000000000000E+00
      3     5  0.000000000000E+00  0.000000000000E+00
      3     4 -2.403000000000E-05  1.759200000000E-05
      3     3  5.943300000000E-04 -5.865400000000E-04
      3     2  5.247300000000E-05 -1.022000000000E-04
      3     1  3.195200000000E-03 -3.052300000000E-03
      3     0 -1.417400000000E-02  1.177900000000E-02
      3    -1 -1.779600000000E-03 -1.926000000000E-03
      3    -2 -1.052900000000E-02  1.066300000000E-02
      3    -3 -5.801300000000E-03  5.809500000000E-03
      3    -4  1.425700000000E-03 -1.444300000000E-03
      3    -5  0.000000000000E+00  0.000000000000E+00
      4     5  0.000000000000E+00  0.000000000000E+00
      4     4  2.589300000000E-05 -8.782200000000E-06
      4     3 -3.266500000000E-04  2.607800000000E-04
      4     2 -4.803900000000E-05  2.345300000000E-05
      4     1 -5.296600000000E-04  2.908800000000E-04
      4     0  4.545100000000E-03  1.826000000000E-04
      4    -1 -4.699800000000E-03  9.641600000000E-03
      4    -2  6.458600000000E-03 -3.049500000000E-03
      4    -3  1.781100000000E-04 -5.417300000000E-04
      4    -4  1.723700000000E-03 -1.787000000000E-03
      4    -5  0.000000000000E+00  0.000000000000E+00
      5     5  0.000000000000E+00  0.000000000000E+00
      5     4 -2.697100000000E-06 -2.697100000000E-06
      5     3  7.652000000000E-05  7.652000000000E-05
      5     2  1.002200000000E-05  1.002200000000E-05
      5     1  4.048300000000E-04  4.048300000000E-04
      5     0 -1.681700000000E-03 -1.681700000000E-03
      5    -1  9.484100000000E-06  9.484100000000E-06
      5    -2 -1.373300000000E-03 -1.373300000000E-03
      5    -3 -7.523700000000E-04 -7.523700000000E-04
      5    -4  1.859800000000E-04  1.859800000000E-04
      5    -5  0.000000000000E+00  0.000000000000E+00
      6     5  0.000000000000E+00  0.000000000000E+00
      6     4  3.424700000000E-06  3.424700000000E-06
      6     3 -5.801700000000E-05 -5.801700000000E-05
      6     2 -7.060900000000E-06 -7.060900000000E-06
      6     1 -8.104100000000E-05 -8.104100000000E-05
      6     0  4.308700000000E-04  4.308700000000E-04
      6    -1 -1.416500000000E-03 -1.416500000000E-03
      6    -2  9.390600000000E-04  9.390600000000E-04
      6    -3  7.109600000000E-05  7.109600000000E-05
      6    -4  3.467400000000E-04  3.467400000000E-04
      6    -5  0.000000000000E+00  0.000000000000E+00
      7     5  0.000000000000E+00  0.000000000000E+00
      7     4  0.000000000000E+00  0.000000000000E+00
      7     3  0.000000000000E+00  0.000000000000E+00
      7     2  0.000000000000E+00  0.000000000000E+00
      7     1  0.000000000000E+00  0.000000000000E+00
      7     0  0.000000000000E+00  0.000000000000E+00
      7    -1  0.000000000000E+00  0.000000000000E+00
      7    -2  0.000000000000E+00  0.000000000000E+00
      7    -3  0.000000000000E+00  0.000000000000E+00
      7    -4  0.000000000000E+00  0.000000000000E+00
      7    -5  0.000000000000E+00  0.000000000000E+00
      8     5  0.000000000000E+00  0.000000000000E+00
      8     4  0.000000000000E+00  0.000000000000E+00
      8     3  0.000000000000E+00  0.000000000000E+00
      8     2  0.000000000000E+00  0.000000000000E+00
      8     1  0.000000000000E+00  0.000000000000E+00
      8     0  0.000000000000E+00  0.000000000000E+00
      8    -1  0.000000000000E+00  0.000000000000E+00
      8    -2  0.000000000000E+00  0.000000000000E+00
      8    -3  0.000000000000E+00  0.000000000000E+00
      8    -4  0.000000000000E+00  0.000000000000E+00
      8    -5  0.000000000000E+00  0.000000000000E+00
